EntryID,Issue_Category,Severity_Score,Latitude,Longitude,Slope,Elevation,Aspect,Past_7_Day_Rainfall,Image_URL
1023,Nominal,0,-43.532,172.636,4,812,North,22,""
1024,Erosion,4,-43.551,172.614,18,950,South,45,"https://raw.githubusercontent.com/your-username/your-repo/main/images/erosion.jpg"
1025,Hazard (Treefall),3,-43.570,172.592,12,985,West,45,"https://raw.githubusercontent.com/your-username/your-repo/main/images/treefall.jpg"
1026,Infrastructure Damage,2,-43.585,172.571,8,1015,South,31,""
1027,Drainage Failure,5,-43.601,172.550,15,1050,East,60,""
1028,Nominal,1,-43.520,172.650,6,780,North,18,""
1029,Erosion,3,-43.540,172.630,22,920,South,52,"https://raw.githubusercontent.com/your-username/your-repo/main/images/erosion.jpg"
1030,Hazard (Treefall),4,-43.560,172.610,14,960,West,38,"https://raw.githubusercontent.com/your-username/your-repo/main/images/treefall.jpg"
1031,Infrastructure Damage,1,-43.580,172.590,9,1000,East,25,""
1032,Drainage Failure,3,-43.600,172.570,16,1030,South,48,""
1033,Nominal,0,-43.515,172.665,3,750,North,15,""
1034,Erosion,5,-43.535,172.645,25,900,South,65,"https://raw.githubusercontent.com/your-username/your-repo/main/images/erosion.jpg"
1035,Hazard (Treefall),2,-43.555,172.625,11,940,West,28,"https://raw.githubusercontent.com/your-username/your-repo/main/images/treefall.jpg"
1036,Infrastructure Damage,3,-43.575,172.605,7,980,East,35,""
1037,Drainage Failure,4,-43.595,172.585,19,1020,South,55,""
